Pais,Continente,Casos,Avg,Max,Std
Afghanistan,Asia,157797.00,1532.00,14281.00,2661.00
Albania,Europe,205777.00,2189.00,7739.00,2172.00
Algeria,Africa,214330.00,2081.00,10409.00,2066.00
American Samoa,Oceania,10.00,1.00,5.00,1.00
Andorra,Europe,21062.00,226.00,1516.00,278.00
Angola,Africa,65868.00,716.00,3808.00,704.00
Anguilla,America,1592.00,17.00,246.00,42.00
Antigua And Barbuda,America,4198.00,46.00,580.00,96.00
Argentina,America,5395044.00,57394.00,226170.00,53963.00
Armenia,Europe,343708.00,3337.00,14638.00,3539.00
Aruba,America,16848.00,185.00,877.00,189.00
Australia,Oceania,250728.00,2434.00,19975.00,4613.00
Austria,Europe,1283001.00,12219.00,97281.00,17542.00
Azerbaijan,Europe,610318.00,5925.00,29195.00,7431.00
Bahamas,America,23112.00,249.00,1462.00,269.00
Bahrain,Asia,278499.00,2704.00,20109.00,3444.00
Bangladesh,Asia,1581083.00,16820.00,112684.00,20366.00
Barbados,America,27242.00,296.00,2435.00,594.00
Belarus,Europe,685462.00,6655.00,15739.00,4668.00
Belgium,Europe,2132410.00,20309.00,125774.00,27404.00
Belize,America,31294.00,344.00,2875.00,491.00
Benin,Africa,25055.00,275.00,3909.00,625.00
Bermuda,America,5917.00,64.00,1167.00,155.00
Bhutan,Asia,2657.00,29.00,218.00,44.00
Bolivia,America,564747.00,6139.00,21626.00,4811.00
"Bonaire, Saint Eustatius And Saba",America,3171.00,35.00,314.00,58.00
Bosnia And Herzegovina,Europe,285133.00,3066.00,11122.00,2926.00
Botswana,Africa,199864.00,2221.00,15884.00,3266.00
Brazil,America,22213762.00,215668.00,527917.00,158837.00
British Virgin Islands,America,2889.00,32.00,877.00,126.00
Brunei Darussalam,Asia,15376.00,165.00,2285.00,412.00
Bulgaria,Europe,748184.00,7126.00,32962.00,8448.00
Burkina Faso,Africa,16672.00,179.00,1224.00,263.00
Burundi,Africa,22212.00,247.00,2167.00,412.00
Cambodia,Asia,120416.00,1169.00,6683.00,1924.00
Cameroon,Africa,107662.00,1145.00,8681.00,1481.00
Canada,America,1886012.00,18311.00,66518.00,16931.00
Cape Verde,Africa,38589.00,419.00,2190.00,421.00
Cayman Islands,America,8245.00,90.00,1888.00,297.00
Central African Republic,Africa,11961.00,129.00,3861.00,419.00
Chad,Africa,5703.00,62.00,596.00,93.00
Chile,America,1792902.00,19073.00,68062.00,14952.00
China,Asia,112989.00,1097.00,30412.00,3989.00
Colombia,America,5109022.00,54936.00,218789.00,51344.00
Comoros,Africa,4677.00,54.00,676.00,110.00
Congo,Africa,19179.00,206.00,1354.00,217.00
Costa Rica,America,568538.00,6048.00,20779.00,5039.00
Cote Divoire,Africa,62077.00,667.00,2870.00,702.00
Croatia,Europe,720951.00,6866.00,37425.00,9146.00
Cuba,America,964176.00,10480.00,65782.00,18267.00
Curaçao,America,17807.00,196.00,2326.00,354.00
Cyprus,Europe,171361.00,1632.00,21630.00,2654.00
Czechia,Europe,2484380.00,23661.00,128632.00,31727.00
Democratic Republic Of The Congo,Africa,67298.00,724.00,7447.00,933.00
Denmark,Europe,780238.00,7431.00,120872.00,16297.00
Djibouti,Africa,13535.00,147.00,1335.00,272.00
Dominica,America,6430.00,70.00,860.00,161.00
Dominican Republic,America,411883.00,3999.00,11684.00,2808.00
Ecuador,America,540896.00,5303.00,14212.00,3783.00
Egypt,Africa,375330.00,3644.00,10635.00,2965.00
El Salvador,America,121530.00,1321.00,3634.00,835.00
Equatorial Guinea,Africa,13618.00,146.00,1750.00,274.00
Eritrea,Africa,7763.00,84.00,574.00,112.00
Estonia,Europe,232949.00,2219.00,12069.00,2797.00
Eswatini,Africa,60036.00,646.00,7393.00,1299.00
