Pais,Continente,Diarios,Casos,Avg,Max,Std
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,3.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,12.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,18.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,80.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,185.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,308.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,389.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,535.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1173.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1698.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,2262.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,3918.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,4623.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,5137.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,4424.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,4067.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,2134.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1984.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1500.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1024.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,788.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,447.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,344.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,542.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,403.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,163.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,236.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,318.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,328.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,183.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,114.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,458.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,401.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,633.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,800.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,606.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1164.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1368.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1073.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1672.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1757.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,740.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1994.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,902.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,675.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,557.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,713.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,267.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,238.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,155.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,0.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,245.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,117.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,119.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,182.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,117.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,485.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,474.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,645.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1117.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1555.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1272.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1757.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,2676.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,6706.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,7860.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,10627.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,14281.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,10002.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,11714.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,6113.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,8836.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,2594.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,3564.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,2441.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,1350.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,220.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,637.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,203.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,757.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,532.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,381.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,194.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,253.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,223.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,222.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,299.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,113.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,252.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,366.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,245.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,205.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,183.00,157797.00,1532.00,14281.00,2661.00
Afghanistan,Asia,149.00,157797.00,1532.00,14281.00,2661.00
Albania,Europe,2.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,40.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,47.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,123.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,149.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,85.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,116.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,164.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,69.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,73.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,78.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,52.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,139.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,109.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,275.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,406.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,475.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,491.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,561.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,636.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,673.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,756.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,892.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,969.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1047.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,953.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,875.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1098.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1032.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,874.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1007.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1133.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1656.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,2102.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,2045.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,3004.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,3624.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,4931.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,4864.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,5363.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,5542.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,4473.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,3569.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,2866.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,4157.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,4095.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,4584.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,5853.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,7209.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,7739.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,7171.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,6921.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,5730.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,4577.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,3726.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,2934.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,2397.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1862.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,1201.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,943.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,701.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,485.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,292.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,194.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,100.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,70.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,82.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,29.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,22.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,23.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,57.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,94.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,171.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,264.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,791.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,2035.00,205777.00,2189.00,7739.00,2172.00
Albania,Europe,3377.00,205777.00,2189.00,7739.00,2172.00
